season,game_id,event_index,decision,call_type,luna_level,sonnet_level,final_level,final_source
2018-19,0021800868,0,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800868,1,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800868,3,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800868,4,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800868,5,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800868,6,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800868,7,CNC,Foul: Offensive,none,marginal,marginal,sonnet
2018-19,0021800868,8,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800868,9,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800868,10,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800868,12,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800868,13,INC,Foul: Offensive,affecting,affecting,affecting,luna
2018-19,0021800868,14,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800868,15,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800868,16,CNC,Foul: Personal,legal,legal,legal,luna
2018-19,0021800868,17,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800870,0,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800870,1,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800870,2,CNC,Foul: Personal,none,none,none,sonnet
2018-19,0021800870,3,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800870,4,CNC,Foul: Shooting,unclear,marginal,marginal,sonnet
2018-19,0021800870,5,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800870,6,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800870,7,CNC,Foul: Loose Ball,legal,legal,legal,luna
2018-19,0021800870,8,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800870,10,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800870,12,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800870,13,CNC,Foul: Personal,legal,legal,legal,luna
2018-19,0021800870,14,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800870,16,CNC,Foul: Personal,legal,not_contact_judgment,not_contact_judgment,sonnet
2018-19,0021800870,18,INC,Foul: Offensive,affecting,affecting,affecting,luna
2018-19,0021800870,20,INC,Foul: Away from Play,affecting,affecting,affecting,luna
2018-19,0021800870,22,INC,Foul: Shooting,affecting,affecting,affecting,luna
