game_id,official_id,official_name,jersey_num,order
0022500001,2534,Zach Zarba,15  ,1
0022500001,200833,Eric Dalen,37  ,2
0022500001,1626301,Jason Goldenberg,35  ,3
0022500005,1155,JB DeRosa,22  ,1
0022500005,201639,Josh Tiven,58  ,2
0022500005,1628171,Brandon Schwab,86  ,3
0022500006,202058,James Williams,60  ,1
0022500006,203593,Justin Van Duyne,64  ,2
0022500006,1627964,Jonathan Sterling,17  ,3
0022500009,2004,Courtney Kirkland,61  ,1
0022500009,203054,Che Flores,91  ,2
0022500009,1626300,Ray Acosta,54  ,3
0022500013,1162,Scott Foster,48  ,1
0022500013,202053,Scott Twardoski,52  ,2
0022500013,202901,Matt Myers,43  ,3
0022500014,202041,Kevin Scott,24  ,1
0022500014,1628159,Mousa Dagher,28  ,2
0022500014,1628953,Ashley Moyer-Gleich,13  ,3
0022500017,1179,Rodney Mott,71  ,1
0022500017,1627962,Jacyn Goble,68  ,2
0022500017,1628480,Robert Hussey,85  ,3
0022500021,2004,Courtney Kirkland,61  ,1
0022500021,201246,Kevin Cutler,34  ,2
0022500021,202037,J.T. Orr,72  ,3
0022500026,2534,Zach Zarba,15  ,1
0022500026,1628159,Mousa Dagher,28  ,2
0022500026,1628481,Simone Jelks,81  ,3
0022500027,101284,John Goble,10  ,1
0022500027,1626301,Jason Goldenberg,35  ,2
0022500027,1628954,Jenna Schroeder,20  ,3
0022500040,1148,James Capers,19  ,1
0022500040,1155,JB DeRosa,14  ,2
0022500040,1627539,Tyler Ricks,95  ,3
0022500043,1193,Michael Smith,38  ,1
0022500043,202058,James Williams,60  ,2
0022500043,1627962,Jacyn Goble,68  ,3
0022500046,2004,Courtney Kirkland,61  ,1
0022500046,202007,Nick Buchert,3   ,2
0022500046,1629183,Pat O'Connell,90  ,3
0022500047,1830,Marc Davis,8   ,1
0022500047,101283,Brian Forte,45  ,2
0022500047,1628171,Brandon Schwab,86  ,3
0022500052,1662,Bill Kennedy,55  ,1
0022500052,1626301,Jason Goldenberg,35  ,2
0022500052,1628484,Dannica Baroody,89  ,3
0022500053,200833,Eric Dalen,37  ,1
0022500053,202041,Kevin Scott,24  ,2
0022500053,1628480,Robert Hussey,85  ,3
0022500054,2004,Courtney Kirkland,61  ,1
0022500054,202037,J.T. Orr,72  ,2
0022500054,203592,Dedric Taylor,21  ,3
0022500056,1155,JB DeRosa,14  ,1
0022500056,201246,Kevin Cutler,34  ,2
0022500056,202056,CJ Washington,12  ,3
0022500060,1146,Tony Brothers,25  ,1
0022500060,203591,Mitchell Ervin,27  ,2
0022500060,1628954,Jenna Schroeder,20  ,3
0022500062,202041,Kevin Scott,24  ,1
0022500062,1626301,Jason Goldenberg,35  ,2
0022500062,1629183,Pat O'Connell,90  ,3
0022500063,2004,Courtney Kirkland,61  ,1
0022500063,201245,Marat Kogut,32  ,2
0022500063,1629178,Sha'Rae Mitchell,98  ,3
0022500064,201639,Josh Tiven,58  ,1
0022500064,203592,Dedric Taylor,21  ,2
0022500064,1627964,Jonathan Sterling,17  ,3
0022500065,202026,Karl Lane,77  ,1
0022500065,204058,Gediminas Petraitis,50  ,2
0022500065,1627529,Suyash Mehta,82  ,3
0022500066,2882,Sean Wright,4   ,1
0022500066,1627961,Brandon Adair,67  ,2
0022500066,1628159,Mousa Dagher,28  ,3
0022500069,1146,Tony Brothers,25  ,1
0022500069,202027,Tre Maddox,23  ,2
0022500069,202901,Matt Myers,43  ,3
0022500072,2002,Derrick Collins,11  ,1
0022500072,2714,David Guthrie,16  ,2
0022500072,200833,Eric Dalen,37  ,3
0022500075,1148,James Capers,19  ,1
0022500075,1627524,Nate Green,41  ,2
0022500075,1628172,Evan Scott,78  ,3
0022500076,201245,Marat Kogut,32  ,1
0022500076,201246,Kevin Cutler,34  ,2
0022500076,1627961,Brandon Adair,67  ,3
0022500079,1151,Sean Corbin,33  ,1
0022500079,202035,Brett Nansel,44  ,2
0022500079,1626300,Ray Acosta,54  ,3
