official,plays,missed,raw_miss_rate,coef_shrunk,perm_p,fdr_q
Justin Van Duyne,424,67,0.1580188679245283,-0.47071875302916133,0.001996007984031936,0.11177644710578842
Scott Foster,463,82,0.1771058315334773,-0.38023695282213943,0.003992015968063872,0.11177644710578842
Zach Zarba,535,100,0.18691588785046728,-0.33300012584349115,0.003992015968063872,0.11177644710578842
Tyler Ford,411,76,0.18491484184914841,-0.3138205310833661,0.015968063872255488,0.33532934131736525
Brandon Schwab,212,36,0.16981132075471697,-0.24489896607103542,0.1497005988023952,0.7731204258150366
James Williams,536,112,0.208955223880597,-0.24167718855085762,0.027944111776447105,0.4471057884231537
Sean Corbin,416,81,0.19471153846153846,-0.22706249249830548,0.1157684630738523,0.7731204258150366
Jason Goldenberg,335,61,0.18208955223880596,-0.22411672724545373,0.10778443113772455,0.7731204258150366
Che Flores,151,24,0.15894039735099338,-0.21646595595279064,0.29141716566866266,0.9531621688130588
Bill Kennedy,328,66,0.20121951219512196,-0.21622581659123052,0.11377245508982035,0.7731204258150366
Evan Scott,267,48,0.1797752808988764,-0.21509703079667747,0.1656686626746507,0.7731204258150366
Josh Tiven,509,100,0.19646365422396855,-0.18330892676849217,0.11976047904191617,0.7731204258150366
Andy Nagy,279,53,0.18996415770609318,-0.17489686947737454,0.25948103792415167,0.9531621688130588
Haywoode Workman,82,19,0.23170731707317074,-0.16245833316488006,0.5069860279441117,0.9531621688130588
John Goble,454,97,0.21365638766519823,-0.14997426108797374,0.1936127744510978,0.8131736526946108
Mitchell Ervin,578,114,0.1972318339100346,-0.14789423833407345,0.1656686626746507,0.7731204258150366
Matt Boland,325,72,0.22153846153846155,-0.1296739736849984,0.3413173652694611,0.9531621688130588
Karl Lane,419,95,0.22673031026252982,-0.12958945675021424,0.2934131736526946,0.9531621688130588
Robert Hussey,185,33,0.1783783783783784,-0.11745286695843282,0.5449101796407185,0.9531621688130588
Matt Kallio,145,25,0.1724137931034483,-0.11541020058221957,0.5508982035928144,0.9531621688130588
CJ Washington,345,68,0.19710144927536233,-0.11242314922282676,0.4091816367265469,0.9531621688130588
Kevin Scott,453,104,0.22958057395143489,-0.1055479067362143,0.3852295409181637,0.9531621688130588
Rodney Mott,334,80,0.23952095808383234,-0.10289791050380505,0.4530938123752495,0.9531621688130588
Ray Acosta,427,92,0.2154566744730679,-0.09714325808323347,0.4491017964071856,0.9531621688130588
Sean Wright,488,110,0.22540983606557377,-0.09626863666332475,0.38323353293413176,0.9531621688130588
Ashley Moyer-Gleich,204,41,0.20098039215686275,-0.0900208224297451,0.5968063872255489,0.9531621688130588
Aaron Smith,350,81,0.23142857142857143,-0.08788158504686708,0.500998003992016,0.9531621688130588
Jenna Schroeder,264,52,0.19696969696969696,-0.08486601092447194,0.5888223552894212,0.9531621688130588
Pat Fraher,441,98,0.2222222222222222,-0.08441328068549622,0.45109780439121755,0.9531621688130588
Leon Wood,252,59,0.23412698412698413,-0.08223991502473144,0.5469061876247505,0.9531621688130588
Eric Lewis,347,92,0.26512968299711814,-0.07583224707622654,0.5429141716566867,0.9531621688130588
J.T. Orr,339,79,0.23303834808259588,-0.07467950136960926,0.5868263473053892,0.9531621688130588
Brett Nansel,312,72,0.23076923076923078,-0.07459396057556367,0.6407185628742516,0.9531621688130588
Ed Malloy,387,98,0.2532299741602067,-0.07411851496226805,0.5469061876247505,0.9531621688130588
Phenizee Ransom,317,65,0.20504731861198738,-0.0612897648123461,0.6107784431137725,0.9531621688130588
James Capers,453,109,0.24061810154525387,-0.058486160794776275,0.6646706586826348,0.9531621688130588
Derek Richardson,249,58,0.23293172690763053,-0.05680898773806409,0.6986027944111777,0.9531621688130588
Ben Taylor,359,88,0.24512534818941503,-0.05444759494931327,0.6946107784431138,0.9531621688130588
David Guthrie,499,120,0.24048096192384769,-0.04774011408004909,0.6746506986027944,0.9531621688130588
Natalie Sago,324,71,0.2191358024691358,-0.038890163173469904,0.7904191616766467,0.9531621688130588
Dedric Taylor,430,100,0.23255813953488372,-0.035677516482043065,0.7904191616766467,0.9531621688130588
Jonathan Sterling,295,66,0.22372881355932203,-0.03389345152457155,0.8223552894211577,0.9531621688130588
Michael Smith,364,92,0.25274725274725274,-0.03353614476447587,0.7984031936127745,0.9531621688130588
Nate Green,272,58,0.21323529411764705,-0.027716276512696543,0.8283433133732535,0.9531621688130588
Tony Brothers,577,133,0.23050259965337955,-0.027425495737613208,0.8183632734530938,0.9531621688130588
Mousa Dagher,341,71,0.20821114369501467,-0.01823975078612,0.8822355289421158,0.9651466298172886
Tony Brown,134,36,0.26865671641791045,-0.010452881223300582,0.9560878243512974,0.9938676863141188
Kane Fitzgerald,201,57,0.2835820895522388,-0.0004192465935905608,0.9940119760479041,0.994011976047904
Gediminas Petraitis,498,117,0.23493975903614459,0.002641755394188409,0.9820359281437125,0.9938676863141188
Matt Myers,331,72,0.2175226586102719,0.004722085189050925,0.9820359281437125,0.9938676863141188
Marat Kogut,408,96,0.23529411764705882,0.006496370515470117,0.9620758483033932,0.9938676863141188
Curtis Blair,474,110,0.2320675105485232,0.014547902222223507,0.8922155688622755,0.9651466298172886
Nick Buchert,476,105,0.22058823529411764,0.01890958645190811,0.8962075848303394,0.9651466298172886
John Butler,302,72,0.23841059602649006,0.028872043155956855,0.8562874251497006,0.9651466298172886
Sha'Rae Mitchell,91,19,0.2087912087912088,0.03137925834715446,0.9281437125748503,0.9868869855226255
Simone Jelks,126,27,0.21428571428571427,0.03225077160912472,0.8882235528942116,0.9651466298172886
Brent Barnaky,374,88,0.23529411764705882,0.03598833964119615,0.7784431137724551,0.9531621688130588
Marc Davis,471,118,0.2505307855626327,0.037991280305360635,0.7504990019960079,0.9531621688130588
Mark Lindsay,465,109,0.23440860215053763,0.04526855814459815,0.720558882235529,0.9531621688130588
Lauren Holtkamp,130,31,0.23846153846153847,0.04788920411290883,0.8163672654690619,0.9531621688130588
Eric Dalen,357,84,0.23529411764705882,0.04942404938511928,0.7225548902195609,0.9531621688130588
Tre Maddox,335,82,0.24477611940298508,0.04999472183057297,0.7085828343313373,0.9531621688130588
Jacyn Goble,422,102,0.24170616113744076,0.05480623314683002,0.626746506986028,0.9531621688130588
Brian Forte,512,123,0.240234375,0.0572110296553207,0.6207584830339321,0.9531621688130588
JB DeRosa,497,124,0.24949698189134809,0.06723350564842764,0.5868263473053892,0.9531621688130588
Kevin Cutler,353,88,0.24929178470254956,0.07628849271526815,0.5528942115768463,0.9531621688130588
Courtney Kirkland,445,119,0.26741573033707866,0.0801382354232623,0.47704590818363274,0.9531621688130588
Pat O'Connell,73,14,0.1917808219178082,0.08522319703032748,0.780439121756487,0.9531621688130588
Scott Twardoski,433,107,0.2471131639722864,0.10586156527587218,0.38323353293413176,0.9531621688130588
Mark Ayotte,135,39,0.28888888888888886,0.10604588957617408,0.6087824351297405,0.9531621688130588
Derrick Collins,295,75,0.2542372881355932,0.10913841976062837,0.38922155688622756,0.9531621688130588
Dannica Mosher,104,28,0.2692307692307692,0.13568716359536176,0.5089820359281437,0.9531621688130588
Danielle Scott,201,43,0.21393034825870647,0.16348834143620597,0.3772455089820359,0.9531621688130588
Brandon Adair,326,93,0.2852760736196319,0.2076515622408664,0.13572854291417166,0.7731204258150366
Suyash Mehta,242,63,0.2603305785123967,0.2289915856681078,0.17764471057884232,0.7853766151906714
Intae Hwang,94,19,0.20212765957446807,0.23082769071916898,0.36926147704590817,0.9531621688130588
Ken Mauer,84,30,0.35714285714285715,0.24577997585737837,0.25149700598802394,0.9531621688130588
Tyler Ricks,90,20,0.2222222222222222,0.2617539133931715,0.28542914171656686,0.9531621688130588
Scott Wall,203,64,0.31527093596059114,0.26181552203233655,0.08183632734530938,0.7731204258150366
Mike Callahan,62,25,0.4032258064516129,0.2622467237983959,0.3033932135728543,0.9531621688130588
Leroy Richardson,116,42,0.3620689655172414,0.29753140433591035,0.1536926147704591,0.7731204258150366
John Conley,218,60,0.27522935779816515,0.30116397636799774,0.07584830339321358,0.7731204258150366
Tom Washington,196,58,0.29591836734693877,0.3262738320467131,0.031936127744510975,0.4471057884231537
JD Ralls,95,26,0.2736842105263158,0.43909657474327424,0.1217564870259481,0.7731204258150366
