official,plays,missed,raw_miss_rate,coef_shrunk,perm_p,fdr_q
Justin Van Duyne,433,68,0.15704387990762125,-0.4386244205028667,0.001996007984031936,0.08383233532934131
Scott Foster,474,81,0.17088607594936708,-0.3652315004094538,0.005988023952095809,0.125748502994012
Tyler Ford,407,74,0.18181818181818182,-0.31897826371980664,0.021956087824351298,0.36886227544910183
Zach Zarba,520,98,0.18846153846153846,-0.3152711106940196,0.005988023952095809,0.125748502994012
Brandon Schwab,215,35,0.16279069767441862,-0.25846079592882726,0.1536926147704591,0.8185980979218034
James Williams,536,112,0.208955223880597,-0.21696979754560622,0.03992015968063872,0.5588822355289421
Sean Corbin,418,81,0.1937799043062201,-0.2161629143816243,0.09381237524950099,0.8185980979218034
Jason Goldenberg,345,61,0.17681159420289855,-0.2044304768032849,0.1317365269461078,0.8185980979218034
Evan Scott,273,48,0.17582417582417584,-0.19271336753314186,0.1996007984031936,0.9314703925482368
Bill Kennedy,334,66,0.19760479041916168,-0.1918776110745844,0.1656686626746507,0.8185980979218034
Che Flores,152,24,0.15789473684210525,-0.1856568388209764,0.3912175648702595,0.9570858283433135
Andy Nagy,282,53,0.1879432624113475,-0.16798698308114107,0.24550898203592814,0.9373979314099075
Josh Tiven,517,100,0.19342359767891681,-0.16623586206394966,0.13572854291417166,0.8185980979218034
Haywoode Workman,78,19,0.24358974358974358,-0.15893071821919413,0.4930139720558882,0.9570858283433135
John Goble,455,96,0.210989010989011,-0.14074006004068468,0.21157684630738524,0.93539237314844
Matt Boland,328,71,0.21646341463414634,-0.13727674876145118,0.3473053892215569,0.9570858283433135
Mitchell Ervin,595,115,0.19327731092436976,-0.1356217819592306,0.23552894211576847,0.9373979314099075
Karl Lane,425,94,0.2211764705882353,-0.13469516396974046,0.2694610778443114,0.9570858283433135
CJ Washington,349,68,0.19484240687679083,-0.10410635230471804,0.42714570858283435,0.9570858283433135
Robert Hussey,188,33,0.17553191489361702,-0.09815443451812711,0.5968063872255489,0.9570858283433135
Kevin Scott,458,103,0.22489082969432314,-0.09207038375912255,0.49101796407185627,0.9570858283433135
Sean Wright,500,109,0.218,-0.09113451054868499,0.4111776447105788,0.9570858283433135
Matt Kallio,145,25,0.1724137931034483,-0.08687421231835474,0.6966067864271457,0.9570858283433135
Aaron Smith,357,81,0.226890756302521,-0.07976037497027434,0.5269461077844312,0.9570858283433135
J.T. Orr,342,78,0.22807017543859648,-0.07850692641577309,0.5608782435129741,0.9570858283433135
Jenna Schroeder,267,52,0.1947565543071161,-0.07779121115786933,0.5988023952095808,0.9570858283433135
Ray Acosta,424,92,0.2169811320754717,-0.07731917248708424,0.5508982035928144,0.9570858283433135
Eric Lewis,352,90,0.2556818181818182,-0.0745879429935658,0.5748502994011976,0.9570858283433135
Ashley Moyer-Gleich,207,41,0.19806763285024154,-0.06906055439713411,0.6946107784431138,0.9570858283433135
Brett Nansel,319,72,0.22570532915360503,-0.0670074116026989,0.6347305389221557,0.9570858283433135
Ed Malloy,386,96,0.24870466321243523,-0.06644863536605014,0.6007984031936128,0.9570858283433135
Rodney Mott,338,80,0.23668639053254437,-0.06314367952225962,0.6187624750499002,0.9570858283433135
Nate Green,275,56,0.20363636363636364,-0.058093643710439596,0.720558882235529,0.9570858283433135
Pat Fraher,435,97,0.22298850574712645,-0.05657873590214613,0.654690618762475,0.9570858283433135
Ben Taylor,362,86,0.23756906077348067,-0.05345323971892298,0.7045908183632734,0.9570858283433135
Natalie Sago,326,69,0.2116564417177914,-0.05235175890470894,0.6906187624750499,0.9570858283433135
Leon Wood,252,59,0.23412698412698413,-0.04789954313226725,0.7285429141716567,0.9570858283433135
James Capers,455,109,0.23956043956043957,-0.03812720614536475,0.7465069860279441,0.9570858283433135
Derek Richardson,253,58,0.22924901185770752,-0.03797876122389536,0.810379241516966,0.9570858283433135
Jonathan Sterling,297,64,0.21548821548821548,-0.033153443659931496,0.8203592814371258,0.9570858283433135
Phenizee Ransom,321,65,0.20249221183800623,-0.025459441690543524,0.8682634730538922,0.9684840844626535
Tony Brothers,582,132,0.2268041237113402,-0.02164993633419327,0.8602794411177644,0.9684840844626535
David Guthrie,498,119,0.2389558232931727,-0.020377948459750612,0.8762475049900199,0.9684840844626535
Nick Buchert,477,101,0.21174004192872117,-0.011186985785075343,0.9001996007984032,0.9820359281437127
Dedric Taylor,432,100,0.23148148148148148,-0.007594652919604357,0.9760479041916168,0.9880239520958083
Michael Smith,370,92,0.24864864864864866,-0.0048571333163953696,0.9720558882235529,0.9880239520958083
Kane Fitzgerald,201,56,0.27860696517412936,-0.004176411073261549,0.9880239520958084,0.9880239520958083
Gediminas Petraitis,509,116,0.22789783889980353,0.0010192071138251703,0.9880239520958084,0.9880239520958083
Tony Brown,137,36,0.26277372262773724,0.006398277074830964,0.9580838323353293,0.9880239520958083
Curtis Blair,478,108,0.22594142259414227,0.007840659493798597,0.9500998003992016,0.9880239520958083
