game_id,event_id,period,clock,description,fouled_player_name,fouled_team_tricode,committing_player_name,committing_team_tricode,caller_official_name,landing_foul,note,timestamp
0022200121,361,3,PT11M01.00S,"Turner S.FOUL (P3.T1) (E.Malloy)","K. Lowry",MIA,"M. Turner",IND,E.Malloy,YES,"",2026-06-29T14:21:14.146Z
0022301012,125,1,PT03M29.00S,"Ramsey S.FOUL (P1.T2) (T.Ford)","I. Joe",OKC,"J. Ramsey",TOR,T.Ford,YES,"",2026-06-29T14:21:43.444Z
0022200856,293,2,PT01M37.00S,"Poeltl S.FOUL (P3.PN) (N.Green)","B. Bogdanović",DET,"J. Poeltl",TOR,N.Green,YES,"",2026-06-29T14:22:06.713Z
0022300896,389,3,PT06M23.00S,"Williams Jr. S.FOUL (P2.T2) (S.Foster)","N. Batum",PHI,"V. Williams Jr.",MEM,S.Foster,YES,"",2026-06-29T14:22:31.545Z
0022300605,419,3,PT03M43.00S,"Reddish S.FOUL (P1.T1) (M.Dagher)","J. Grant",POR,"C. Reddish",LAL,M.Dagher,YES,"",2026-06-29T14:22:40.949Z
0022001004,301,2,PT02M29.00S,"Brazdeikis S.FOUL (P1.PN) (Z.Zarba)","C. Martin",CHA,"I. Brazdeikis",ORL,Z.Zarba,NO,"",2026-06-29T14:23:56.316Z
0022300205,593,4,PT04M34.00S,"Irving S.FOUL (P3.PN) (P.Fraher)","D. Lillard",MIL,"K. Irving",DAL,P.Fraher,NO,"",2026-06-29T14:24:17.316Z
0022401146,467,3,PT02M36.00S,"Pippen Jr. S.FOUL (P2.T4) (J.Butler)","S. Curry",CHA,"S. Pippen Jr.",MEM,J.Butler,YES,"",2026-06-29T14:24:33.174Z
0022400819,543,3,PT01M21.00S,"Merrill S.FOUL (P3.PN) (N.Buchert)","D. Bane",MEM,"S. Merrill",CLE,N.Buchert,NO,"",2026-06-29T14:25:00.416Z
0022200006,527,3,PT01M55.00S,"Alvarado S.FOUL (P1.T3) (J.Butler)","K. Irving",BKN,"J. Alvarado",NOP,J.Butler,YES,"",2026-06-29T14:25:16.368Z
0022400001,379,3,PT09M57.00S,"Johnson S.FOUL (P3.T1) (C.Kirkland)","J. Tatum",BOS,"J. Johnson",ATL,C.Kirkland,NO,"",2026-06-29T14:25:53.654Z
0022400249,620,4,PT03M14.00S,"Booker S.FOUL (P5.T3) (J.Butler)","F. Wagner",ORL,"D. Booker",PHX,J.Butler,YES,"",2026-06-29T14:26:24.220Z
0022101000,373,2,PT00M01.80S,"Bane S.FOUL (P3.PN) (C.Kirkland)","E. Fournier",NYK,"D. Bane",MEM,C.Kirkland,NO,"",2026-06-29T14:26:58.580Z
0022300850,590,4,PT02M28.00S,"Suggs S.FOUL (P5.T4) (J.Conley)","K. George",UTA,"J. Suggs",ORL,J.Conley,UNCLEAR,"The landing contact is unambiguously clear; however it's unclear whether the shooter got hit in the face prior to the landing contact.",2026-06-29T14:27:59.567Z
0022401112,394,3,PT07M49.00S,"Jones S.FOUL (P3.T3) (M.Davis)","K. Caldwell-Pope",ORL,"C. Jones",WAS,M.Davis,NO,"",2026-06-29T14:29:37.275Z
0022000142,479,4,PT11M13.00S,"Williams S.FOUL (P1.T2) (Z.Zarba)","L. Williams",LAC,"P. Williams",CHI,Z.Zarba,NO,"",2026-06-29T14:29:52.697Z
0022201150,575,4,PT00M10.50S,"Maxey S.FOUL (P2.PN) (D.Guthrie)","F. VanVleet",TOR,"T. Maxey",PHI,D.Guthrie,NO,"Contest foul",2026-06-29T14:30:14.721Z
0021900622,653,4,PT00M52.30S,"Clarke S.FOUL (P5.PN) (J.Orr)","K. Love",CLE,"B. Clarke",MEM,J.Orr,NO,"Love pumps his defender into the air and jumps into him before shooting",2026-06-29T14:30:39.197Z
0022401031,140,1,PT00M03.90S,"Brissett S.FOUL (P1.T2) (M.Myers)","G. Niang",ATL,"O. Brissett",PHI,M.Myers,NO,"Contact made to the hands and arms of shooter after release, but not landing",2026-06-29T14:31:30.032Z
0022100070,23,1,PT10M34.00S,"Melton S.FOUL (P1.T1) (E.Dalen)","S. Curry",GSW,"D. Melton",MEM,E.Dalen,YES,"",2026-06-29T14:31:49.286Z
0022100800,152,1,PT01M29.00S,"Connaughton S.FOUL (P1.T3) (J.Goble)","B. McLemore",POR,"P. Connaughton",MIL,J.Goble,NO,"",2026-06-29T14:32:53.275Z
0022301097,23,1,PT10M34.00S,"Irving S.FOUL (P1.T1) (K.Scott)","M. Moody",GSW,"K. Irving",DAL,K.Scott,NO,"Contest foul",2026-06-29T14:33:18.814Z
0022301007,559,4,PT04M24.00S,"Schroder S.FOUL (P4.T1) (D.Taylor)","D. Lillard",MIL,"D. Schröder",BKN,D.Taylor,UNCLEAR,"Borderline- defender moves into player's area after shot release, they make upper body contact before they fully go into the landing space",2026-06-29T14:35:50.627Z
0022000354,486,4,PT11M32.00S,"Thybulle S.FOUL (P2.T1) (K.Lane)","L. Shamet",BKN,"M. Thybulle",PHI,K.Lane,YES,"Somewhat borderline as to whether Thybulle contacts Shamet in the arm prior to Shamet landing on Thybulle",2026-06-29T14:38:02.425Z
0022000201,437,3,PT01M55.00S,"Williamson S.FOUL (P3.T3) (B.Forte)","B. Hield",SAC,"Z. Williamson",NOP,B.Forte,YES,"Zion pokes Hield's face after the ball has been well released.",2026-06-29T14:39:07.311Z
