game_id,event_id,period,clock,description,landing_foul,note,source,fouled_player_name,fouled_team_tricode,committing_player_name,committing_team_tricode,caller_official_name,timestamp
0021900028,532,4,PT11M24.00S,Hunter S.FOUL (P4.T1) (L.Richardson),NO,,landing_classifier,T. Ross,ORL,D. Hunter,ATL,L.Richardson,2026-06-30T14:57:39.907Z
0021900061,718,4,PT00M07.70S,Tucker S.FOUL (P5.PN) (J.Capers),NO,,landing_classifier,B. Beal,WAS,P. Tucker,HOU,J.Capers,2026-06-30T15:28:55.819Z
0021900094,599,4,PT10M57.00S,Teague S.FOUL (P4.T2) (S.Wall),NO,Contact happens slightly after the shot but still at the contest level,landing_classifier,E. Bledsoe,MIL,J. Teague,MIN,S.Wall,2026-06-30T14:51:30.294Z
0021900153,368,3,PT08M04.00S,McCollum S.FOUL (P1.T2) (K.Lane),YES,,landing_classifier,B. Hield,SAC,C. McCollum,POR,K.Lane,2026-06-30T14:59:42.757Z
0021900161,191,2,PT10M23.00S,Olynyk S.FOUL (P2.T2) (P.Ransom),NO,,landing_classifier,K. Love,CLE,K. Olynyk,MIA,P.Ransom,2026-06-30T15:22:48.633Z
0021900182,23,1,PT10M20.00S,Hunter S.FOUL (P1.T2) (J.Van Duyne),NO,,landing_classifier,P. George,LAC,D. Hunter,ATL,,2026-06-30T14:50:12.443Z
0021900200,163,2,PT11M32.00S,Bjelica S.FOUL (P2.T1) (D.Richardson),YES,,landing_classifier,M. Bridges,PHX,N. Bjelica,SAC,D.Richardson,2026-06-30T14:53:12.663Z
0021900203,68,1,PT07M11.00S,Brown Jr. S.FOUL (P1.PN) (M.Boland),YES,,landing_classifier,B. Forbes,SAS,T. Brown Jr.,WAS,M.Boland,2026-06-30T15:06:03.238Z
0021900209,653,4,PT05M07.00S,Harrison S.FOUL (P3.T4) (A.Moyer-Gleich),YES,,landing_classifier,L. Galloway,DET,S. Harrison,CHI,,2026-06-30T15:28:04.606Z
0021900231,165,2,PT10M35.00S,Bazemore S.FOUL (P1.T1) (P.Fraher),NO,,landing_classifier,J. Clarkson,CLE,K. Bazemore,POR,P.Fraher,2026-06-30T15:30:59.052Z
0021900250,138,1,PT02M08.00S,Burton S.FOUL (P1.PN) (T.Brothers),YES,,landing_classifier,G. Robinson III,GSW,D. Burton,OKC,T.Brothers,2026-06-30T15:30:18.793Z
0021900258,163,2,PT11M33.00S,Powell S.FOUL (P2.T1) (T.Maddox),UNCLEAR,"borderline, contact happens in the contest area slightly prior to contact in the landing area",landing_classifier,W. Ellington,NYK,N. Powell,TOR,T.Maddox,2026-06-30T15:20:23.261Z
0021900262,327,2,PT01M29.00S,Teague S.FOUL (P2.PN) (N.Green),NO,,landing_classifier,P. Mills,SAS,J. Teague,MIN,N.Green,2026-06-30T14:44:39.779Z
0021900278,429,3,PT06M09.00S,LaVine S.FOUL (P2.T2) (D.Richardson),NO,,landing_classifier,D. Lillard,POR,Z. LaVine,CHI,D.Richardson,2026-06-30T14:51:04.731Z
0021900282,542,3,PT00M11.50S,Turner S.FOUL (P1.PN) (K.Lane),YES,,landing_classifier,J. Harden,HOU,E. Turner,ATL,K.Lane,2026-06-30T15:14:26.482Z
0021900300,97,1,PT04M17.00S,Ross S.FOUL (P1.T3) (B.Barnaky),YES,,landing_classifier,D. Bertāns,WAS,T. Ross,ORL,B.Barnaky,2026-06-30T14:45:35.801Z
0021900333,734,4,PT00M13.70S,Tucker S.FOUL (P5.PN) (M.Kogut),YES,,landing_classifier,D. Booker,PHX,P. Tucker,HOU,M.Kogut,2026-06-30T14:43:00.831Z
0021900420,352,3,PT09M29.00S,Jackson Jr. S.FOUL (P2.T2) (T.Brothers),NO,,landing_classifier,K. Love,CLE,J. Jackson Jr.,MEM,T.Brothers,2026-06-30T15:25:04.072Z
0021900430,367,3,PT08M07.00S,Bogdanovic S.FOUL (P1.T3) (J.Goble),YES,,landing_classifier,T. Rozier,CHA,B. Bogdanović,UTA,J.Goble,2026-06-30T14:57:02.778Z
0021900459,290,2,PT01M40.00S,Millsap S.FOUL (P1.T3) (M.Kogut),YES,,landing_classifier,J. Redick,NOP,P. Millsap,DEN,M.Kogut,2026-06-30T14:51:25.591Z
0021900474,365,3,PT08M34.00S,Redick S.FOUL (P1.T1) (D.Guthrie),NO,,landing_classifier,J. Lamb,IND,J. Redick,NOP,D.Guthrie,2026-06-30T15:17:03.946Z
0021900486,8,1,PT11M29.00S,Ferguson S.FOUL (P1.T1) (B.Nansel),YES,,landing_classifier,K. Lowry,TOR,T. Ferguson,OKC,B.Nansel,2026-06-30T15:07:44.251Z
0021900502,383,3,PT06M09.00S,Chriss S.FOUL (P3.T1) (A.Nagy),YES,,landing_classifier,T. Lyles,SAS,M. Chriss,GSW,A.Nagy,2026-06-30T15:26:32.902Z
0021900504,437,3,PT06M09.00S,Frazier Jr. S.FOUL (P4.T2) (J.Goble),YES,,landing_classifier,G. Mathews,WAS,M. Frazier Jr.,ORL,J.Goble,2026-06-30T15:22:49.997Z
0021900550,457,3,PT01M59.00S,Nader S.FOUL (P4.T4) (M.Kogut),YES,,landing_classifier,C. LeVert,BKN,A. Nader,OKC,M.Kogut,2026-06-30T15:24:03.616Z
0021900613,24,1,PT09M51.00S,Green S.FOUL (P1.T1) (S.Twardoski),NO,,landing_classifier,W. Iwundu,ORL,D. Green,LAL,S.Twardoski,2026-06-30T15:23:46.678Z
0021900622,653,4,PT00M52.30S,Clarke S.FOUL (P5.PN) (J.Orr),NO,Love pumps his defender into the air and jumps into him before shooting,landing_classifier,K. Love,CLE,B. Clarke,MEM,J.Orr,2026-06-30T14:53:22.729Z
0021900645,618,4,PT04M27.00S,Harden S.FOUL (P2.T4) (K.Cutler),YES,,landing_classifier,D. Gallinari,OKC,J. Harden,HOU,K.Cutler,2026-06-30T14:55:51.947Z
0021900673,197,2,PT10M36.00S,Green S.FOUL (P2.T2) (M.Smith),NO,,landing_classifier,K. Olynyk,MIA,J. Green,LAC,M.Smith,2026-06-30T14:50:32.777Z
0021900719,448,3,PT03M58.00S,Bazemore S.FOUL (P1.PN) (M.Boland),NO,,landing_classifier,L. Williams,LAC,K. Bazemore,SAC,M.Boland,2026-06-30T14:42:52.498Z
