game_id,official_id,official_name,first_name,last_name,jersey_num,role
0021800868,1146,Tony Brothers,Tony,Brothers,25,crew_chief
0021800868,2003,Pat Fraher,Pat,Fraher,26,official_2
0021800868,1626302,Aaron Smith,Aaron,Smith,51,official_3
0021800870,1147,Mike Callahan,Mike,Callahan,24,crew_chief
0021800870,1155,JB DeRosa,JB,DeRosa,62,official_2
0021800870,202027,Tre Maddox,Tre,Maddox,73,official_3
0021800871,2148,Mark Ayotte,Mark,Ayotte,56,crew_chief
0021800871,203593,Justin Van Duyne,Justin,Van Duyne,64,official_2
0021800871,1179,Rodney Mott,Rodney,Mott,71,official_3
0021800872,1193,Michael Smith,Michael,Smith,38,crew_chief
0021800872,1162,Scott Foster,Scott,Foster,48,official_2
0021800872,2004,Courtney Kirkland,Courtney,Kirkland,61,official_3
0021800875,204059,Tyler Ford,Tyler,Ford,39,crew_chief
0021800875,201245,Marat Kogut,Marat,Kogut,32,official_2
0021800875,2715,Eric Lewis,Eric,Lewis,42,official_3
0021800876,200833,Eric Dalen,Eric,Dalen,37,crew_chief
0021800876,1830,Marc Davis,Marc,Davis,8,official_2
0021800876,2529,Tony Brown,Tony,Brown,6,official_3
0021800877,201639,Josh Tiven,Josh,Tiven,58,crew_chief
0021800877,202901,Matt Myers,Matt,Myers,43,official_2
0021800877,203592,Dedric Taylor,Dedric,Taylor,21,official_3
0021800881,202041,Kevin Scott,Kevin,Scott,28,crew_chief
0021800881,2530,Ed Malloy,Ed,Malloy,14,official_2
0021800881,203591,Mitchell Ervin,Mitchell,Ervin,27,official_3
0021800883,204059,Tyler Ford,Tyler,Ford,39,crew_chief
0021800883,1626302,Aaron Smith,Aaron,Smith,51,official_2
0021800883,200834,Mark Lindsay,Mark,Lindsay,29,official_3
0021800884,2003,Pat Fraher,Pat,Fraher,26,crew_chief
0021800884,200832,Curtis Blair,Curtis,Blair,74,official_2
0021800884,202056,CJ Washington,CJ,Washington,12,official_3
0021800885,202035,Brett Nansel,Brett,Nansel,44,crew_chief
