official_pbp_name,official_name,mean_adj_fta36_delta,std_adj_fta36_delta,n_players,n_pairs,suppressor_score,mean_raw_fta36_delta,mean_adj_fta36_delta_rs,mean_adj_fta36_delta_po,rs_po_delta,n_players_rs,n_players_po,official_id,sf_per_game,sf_per_game_RS,sf_per_game_PO,sf_per_game_delta,total_games,total_sf,sf_pct_of_fouls,n_games
D.Jones,David Jones,-1.5131434991242516,3.291239626053875,2,2,0.5,-2.3173334134380594,,,,,,1168.0,2.217391304347826,2.217391304347826,0.0,-2.217391304347826,115.0,255.0,0.44519774011299434,116
D.Scott,Danielle Scott,-0.8559081821435536,1.1439887655196332,4,4,0.75,-0.5251862612315696,,,,,,1628487.0,5.657894736842105,5.657894736842105,0.0,-5.657894736842105,152.0,860.0,0.48244274809160304,152
A.Nagy,Andy Nagy,-0.7224104555349913,1.2621799919439554,15,15,0.7333333333333333,-0.3002351789130222,,,,,,1627534.0,7.400749063670412,7.400749063670412,0.0,-7.400749063670412,267.0,1976.0,0.5081270081270082,267
P.Ransom,Phenizee Ransom,-0.6638455146554562,1.1249212986739827,19,19,0.8421052631578947,-0.3475144473239912,,,,,,1627963.0,6.04953560371517,6.04953560371517,0.0,-6.04953560371517,323.0,1954.0,0.47527703477264044,323
E.Dalen,Eric Dalen,-0.6543291406055741,0.9289112328446493,20,20,0.75,-0.689199672809398,,,,,,200833.0,6.223076923076923,6.223076923076923,0.0,-6.223076923076923,520.0,3236.0,0.4849903879331592,520
B.Adair,Brandon Adair,-0.6392707552918618,1.170607887810537,20,20,0.8,-0.4401572271143975,,,,,,1627961.0,5.538461538461538,5.538461538461538,0.0,-5.538461538461538,325.0,1800.0,0.4925764192139738,325
A.Smith,Aaron Smith,-0.5138558620726477,0.7305125817975783,20,20,0.8,-0.4098842931066624,,,,,,1626302.0,5.900621118012422,5.900621118012422,0.0,-5.900621118012422,483.0,2850.0,0.482235091563625,484
J.Sterling,Jonathan Sterling,-0.4229891776171506,0.6959701953146298,18,18,0.7222222222222222,-0.2583123690188125,,,,,,1627964.0,5.688202247191011,5.688202247191011,0.0,-5.688202247191011,356.0,2025.0,0.4651872964169381,356
R.Acosta,Ray Acosta,-0.39982219183427614,1.006427727125246,20,20,0.75,-0.23933650486351327,-0.3892156242042429,-1.5993590101130644,-1.2101433859088215,20.0,1.0,1626300.0,6.691609977324263,6.691609977324263,0.0,-6.691609977324263,441.0,2951.0,0.48863764202947463,441
K.Scott,Kevin Scott,-0.36012858109996226,0.6636801655277222,20,20,0.8,-0.32065904177247506,-0.282702276499179,-2.1092020748141462,-1.8264997983149671,20.0,9.0,202041.0,5.45679012345679,5.627388535031847,0.1,-5.5273885350318475,648.0,3536.0,0.4684734513274336,629
M.Myers,Matt Myers,-0.3526208259479351,1.3296686113538712,17,17,0.47058823529411764,-0.022502268668532686,,,,,,202901.0,6.63448275862069,6.63448275862069,0.0,-6.63448275862069,290.0,1924.0,0.49013324337999664,290
J.Conley,John Conley,-0.3191243348425437,2.409500691030666,3,3,0.3333333333333333,0.2136203598753085,,,,,,1627519.0,5.954285714285715,5.954285714285715,0.0,-5.954285714285715,175.0,1042.0,0.48500707213578503,175
