caller_official_name,official_id,official_name,n_games_assigned_PO,n_games_assigned_RS,n_shooting_fouls_PO,n_shooting_fouls_RS,sf_per_game_PO,sf_per_game_RS,sf_per_game_delta,total_sf,total_games
J.Goble,101284,John Goble,35.0,1101.0,25.0,6677.0,0.7142857142857143,6.064486830154405,-5.350201115868691,6702.0,1136.0
T.Ford,204059,Tyler Ford,18.0,599.0,26.0,4269.0,1.4444444444444444,7.126878130217029,-5.682433685772584,4295.0,617.0
J.Tiven,201639,Josh Tiven,28.0,692.0,16.0,4253.0,0.5714285714285714,6.145953757225434,-5.574525185796863,4269.0,720.0
S.Wright,2882,Sean Wright,32.0,644.0,21.0,4243.0,0.65625,6.588509316770186,-5.932259316770186,4264.0,676.0
T.Brothers,1146,Tony Brothers,39.0,646.0,25.0,4032.0,0.6410256410256411,6.241486068111455,-5.600460427085814,4057.0,685.0
S.Foster,1162,Scott Foster,37.0,627.0,47.0,3940.0,1.2702702702702702,6.283891547049442,-5.013621276779172,3987.0,664.0
P.Fraher,2003,Pat Fraher,20.0,637.0,9.0,3930.0,0.45,6.169544740973312,-5.719544740973312,3939.0,657.0
M.Ervin,203591,Mitchell Ervin,0.0,568.0,0.0,3930.0,0.0,6.919014084507042,-6.919014084507042,3930.0,568.0
N.Buchert,202007,Nick Buchert,13.0,660.0,9.0,3903.0,0.6923076923076923,5.913636363636364,-5.2213286713286715,3912.0,673.0
B.Barnaky,201638,Brent Barnaky,0.0,673.0,0.0,3908.0,0.0,5.806835066864784,-5.806835066864784,3908.0,673.0
C.Kirkland,2004,Courtney Kirkland,18.0,636.0,15.0,3818.0,0.8333333333333334,6.00314465408805,-5.169811320754717,3833.0,654.0
Z.Zarba,2534,Zach Zarba,39.0,672.0,22.0,3789.0,0.5641025641025641,5.638392857142857,-5.074290293040293,3811.0,711.0
M.Davis,1830,Marc Davis,42.0,671.0,38.0,3768.0,0.9047619047619048,5.615499254843517,-4.710737350081612,3806.0,713.0
G.Petraitis,204058,Gediminas Petraitis,0.0,598.0,0.0,3750.0,0.0,6.270903010033445,-6.270903010033445,3750.0,598.0
B.Taylor,202049,Ben Taylor,22.0,624.0,31.0,3713.0,1.4090909090909092,5.950320512820513,-4.541229603729604,3744.0,646.0
B.Forte,101283,Brian Forte,0.0,684.0,0.0,3722.0,0.0,5.441520467836257,-5.441520467836257,3722.0,684.0
M.Kogut,201245,Marat Kogut,0.0,621.0,0.0,3716.0,0.0,5.9838969404186795,-5.9838969404186795,3716.0,621.0
M.Smith,1193,Michael Smith,8.0,589.0,9.0,3682.0,1.125,6.251273344651953,-5.126273344651953,3691.0,597.0
K.Lane,202026,Karl Lane,0.0,659.0,0.0,3685.0,0.0,5.591805766312595,-5.591805766312595,3685.0,659.0
M.Lindsay,200834,Mark Lindsay,15.0,621.0,16.0,3661.0,1.0666666666666667,5.8953301127214175,-4.828663446054751,3677.0,636.0
J.Williams,202058,James Williams,18.0,670.0,6.0,3658.0,0.3333333333333333,5.459701492537313,-5.12636815920398,3664.0,688.0
D.Taylor,203592,Dedric Taylor,0.0,586.0,0.0,3661.0,0.0,6.247440273037543,-6.247440273037543,3661.0,586.0
C.Blair,200832,Curtis Blair,16.0,635.0,8.0,3597.0,0.5,5.6645669291338585,-5.1645669291338585,3605.0,651.0
K.Scott,202041,Kevin Scott,20.0,628.0,2.0,3534.0,0.1,5.627388535031847,-5.5273885350318475,3536.0,648.0
E.Malloy,2530,Ed Malloy,19.0,630.0,15.0,3482.0,0.7894736842105263,5.526984126984127,-4.7375104427736,3497.0,649.0
S.Twardoski,202053,Scott Twardoski,0.0,600.0,0.0,3493.0,0.0,5.821666666666666,-5.821666666666666,3493.0,600.0
T.Maddox,202027,Tre Maddox,0.0,577.0,0.0,3337.0,0.0,5.7833622183708835,-5.7833622183708835,3337.0,577.0
K.Cutler,201246,Kevin Cutler,8.0,619.0,9.0,3314.0,1.125,5.353796445880453,-4.228796445880453,3323.0,627.0
J.Orr,202037,J.T. Orr,0.0,559.0,0.0,3321.0,0.0,5.940966010733453,-5.940966010733453,3321.0,559.0
S.Corbin,1151,Sean Corbin,14.0,553.0,25.0,3288.0,1.7857142857142858,5.945750452079566,-4.1600361663652805,3313.0,567.0
J.Capers,1148,James Capers,32.0,576.0,39.0,3204.0,1.21875,5.5625,-4.34375,3243.0,608.0
D.Guthrie,2714,David Guthrie,34.0,585.0,14.0,3228.0,0.4117647058823529,5.517948717948718,-5.106184012066365,3242.0,619.0
E.Dalen,200833,Eric Dalen,0.0,520.0,0.0,3236.0,0.0,6.223076923076923,-6.223076923076923,3236.0,520.0
E.Lewis,2715,Eric Lewis,24.0,543.0,47.0,3133.0,1.9583333333333333,5.769797421731123,-3.8114640883977904,3180.0,567.0
D.Collins,2002,Derrick Collins,0.0,593.0,0.0,3171.0,0.0,5.347386172006745,-5.347386172006745,3171.0,593.0
B.Nansel,202035,Brett Nansel,0.0,430.0,0.0,3153.0,0.0,7.332558139534884,-7.332558139534884,3153.0,430.0
R.Mott,1179,Rodney Mott,9.0,521.0,7.0,3078.0,0.7777777777777778,5.907869481765835,-5.130091703988057,3085.0,530.0
S.Wall,1198,Scott Wall,0.0,489.0,0.0,3052.0,0.0,6.2413087934560325,-6.2413087934560325,3052.0,489.0
T.Washington,1199,Tom Washington,14.0,558.0,23.0,2950.0,1.6428571428571428,5.28673835125448,-3.6438812083973375,2973.0,572.0
R.Acosta,1626300,Ray Acosta,0.0,441.0,0.0,2951.0,0.0,6.691609977324263,-6.691609977324263,2951.0,441.0
C.Washington,202056,CJ Washington,0.0,413.0,0.0,2948.0,0.0,7.138014527845036,-7.138014527845036,2948.0,413.0
J.DeRosa,1155,JB DeRosa,8.0,420.0,4.0,2935.0,0.5,6.988095238095238,-6.488095238095238,2939.0,428.0
B.Kennedy,1662,Bill Kennedy,18.0,557.0,17.0,2917.0,0.9444444444444444,5.236983842010772,-4.292539397566327,2934.0,575.0
M.Boland,2005,Matt Boland,0.0,558.0,0.0,2889.0,0.0,5.17741935483871,-5.17741935483871,2889.0,558.0
A.Smith,1626302,Aaron Smith,0.0,483.0,0.0,2850.0,0.0,5.900621118012422,-5.900621118012422,2850.0,483.0
D.Richardson,1204,Derek Richardson,0.0,503.0,0.0,2752.0,0.0,5.47117296222664,-5.47117296222664,2752.0,503.0
K.Fitzgerald,201640,Kane Fitzgerald,14.0,466.0,9.0,2492.0,0.6428571428571429,5.347639484978541,-4.704782342121398,2501.0,480.0
L.Wood,1201,Leon Wood,0.0,489.0,0.0,2473.0,0.0,5.0572597137014315,-5.0572597137014315,2473.0,489.0
J.Goldenberg,1626301,Jason Goldenberg,0.0,352.0,0.0,2396.0,0.0,6.806818181818182,-6.806818181818182,2396.0,352.0
K.Mauer,1174,Ken Mauer,11.0,399.0,20.0,2293.0,1.8181818181818181,5.7468671679198,-3.9286853497379814,2313.0,410.0
N.Sago,1627541,Natalie Sago,0.0,361.0,0.0,2313.0,0.0,6.407202216066482,-6.407202216066482,2313.0,361.0
M.Ayotte,2148,Mark Ayotte,0.0,410.0,0.0,2232.0,0.0,5.443902439024391,-5.443902439024391,2232.0,410.0
L.Holtkamp,203177,Lauren Holtkamp,0.0,366.0,0.0,2182.0,0.0,5.961748633879782,-5.961748633879782,2182.0,366.0
T.Brown,2529,Tony Brown,4.0,393.0,17.0,2142.0,4.25,5.450381679389313,-1.200381679389313,2159.0,397.0
L.Richardson,1188,Leroy Richardson,0.0,364.0,0.0,2069.0,0.0,5.684065934065934,-5.684065934065934,2069.0,364.0
J.Sterling,1627964,Jonathan Sterling,0.0,356.0,0.0,2025.0,0.0,5.688202247191011,-5.688202247191011,2025.0,356.0
A.Nagy,1627534,Andy Nagy,0.0,267.0,0.0,1976.0,0.0,7.400749063670412,-7.400749063670412,1976.0,267.0
P.Ransom,1627963,Phenizee Ransom,0.0,323.0,0.0,1954.0,0.0,6.04953560371517,-6.04953560371517,1954.0,323.0
M.Myers,202901,Matt Myers,0.0,290.0,0.0,1924.0,0.0,6.63448275862069,-6.63448275862069,1924.0,290.0
M.Dagher,1628159,Mousa Dagher,0.0,297.0,0.0,1869.0,0.0,6.292929292929293,-6.292929292929293,1869.0,297.0
J.Butler,1628951,John Butler,0.0,286.0,0.0,1810.0,0.0,6.328671328671328,-6.328671328671328,1810.0,286.0
B.Adair,1627961,Brandon Adair,0.0,325.0,0.0,1800.0,0.0,5.538461538461538,-5.538461538461538,1800.0,325.0
E.Scott,1628172,Evan Scott,0.0,254.0,0.0,1669.0,0.0,6.570866141732283,-6.570866141732283,1669.0,254.0
H.Workman,201637,Haywoode Workman,0.0,324.0,0.0,1628.0,0.0,5.0246913580246915,-5.0246913580246915,1628.0,324.0
N.Green,1627524,Nate Green,0.0,238.0,0.0,1555.0,0.0,6.533613445378151,-6.533613445378151,1555.0,238.0
B.Adams,1363,Bennie Adams,1.0,308.0,7.0,1516.0,7.0,4.922077922077922,2.0779220779220777,1523.0,309.0
J.Schroeder,1628954,Jenna Schroeder,0.0,235.0,0.0,1514.0,0.0,6.4425531914893615,-6.4425531914893615,1514.0,235.0
M.Callahan,1147,Mike Callahan,17.0,294.0,20.0,1445.0,1.1764705882352942,4.914965986394558,-3.7384953981592632,1465.0,311.0
S.Mehta,1627529,Suyash Mehta,0.0,211.0,0.0,1462.0,0.0,6.928909952606635,-6.928909952606635,1462.0,211.0
R.Garretson,1164,Ron Garretson,11.0,299.0,6.0,1312.0,0.5454545454545454,4.3879598662207355,-3.84250532076619,1318.0,310.0
B.Schwab,1628171,Brandon Schwab,0.0,185.0,0.0,1313.0,0.0,7.097297297297297,-7.097297297297297,1313.0,185.0
J.Phillips,2001,Jason Phillips,11.0,254.0,15.0,1124.0,1.3636363636363635,4.425196850393701,-3.0615604867573376,1139.0,265.0
D.Stafford,1195,Derrick Stafford,6.0,240.0,31.0,1103.0,5.166666666666667,4.595833333333333,0.5708333333333337,1134.0,246.0
J.Conley,1627519,John Conley,0.0,175.0,0.0,1042.0,0.0,5.954285714285715,-5.954285714285715,1042.0,175.0
R.Hussey,1628480,Robert Hussey,0.0,148.0,0.0,1035.0,0.0,6.993243243243243,-6.993243243243243,1035.0,148.0
G.Zielinski,1664,Gary Zielinski,0.0,237.0,0.0,1030.0,0.0,4.345991561181434,-4.345991561181434,1030.0,237.0
D.Scott,1628487,Danielle Scott,0.0,152.0,0.0,860.0,0.0,5.657894736842105,-5.657894736842105,860.0,152.0
M.McCutchen,1176,Monty McCutchen,7.0,213.0,19.0,833.0,2.7142857142857144,3.9107981220657275,-1.196512407780013,852.0,220.0
B.Spooner,1194,Bill Spooner,0.0,217.0,0.0,843.0,0.0,3.8847926267281108,-3.8847926267281108,843.0,217.0
M.Kallio,1627526,Matt Kallio,0.0,134.0,0.0,834.0,0.0,6.223880597014926,-6.223880597014926,834.0,134.0
C.Flores,203054,Che Flores,0.0,111.0,0.0,754.0,0.0,6.792792792792793,-6.792792792792793,754.0,111.0
D.Crawford,1152,Dan Crawford,8.0,180.0,6.0,737.0,0.75,4.094444444444444,-3.344444444444444,743.0,188.0
S.Anderson,202000,Steve Anderson,0.0,148.0,0.0,620.0,0.0,4.1891891891891895,-4.1891891891891895,620.0,148.0
D.Mosher,1628484,Dannica Mosher,0.0,102.0,0.0,617.0,0.0,6.049019607843137,-6.049019607843137,617.0,102.0
S.Mitchell,1629178,Sha'Rae Mitchell,0.0,88.0,0.0,577.0,0.0,6.556818181818182,-6.556818181818182,577.0,88.0
S.Jelks,1628481,Simone Jelks,0.0,103.0,0.0,576.0,0.0,5.592233009708738,-5.592233009708738,576.0,103.0
I.Hwang,1630886,Intae Hwang,0.0,83.0,0.0,460.0,0.0,5.542168674698795,-5.542168674698795,460.0,83.0
J.Ralls,1628485,JD Ralls,0.0,63.0,0.0,431.0,0.0,6.841269841269841,-6.841269841269841,431.0,63.0
E.Roe,2532,Eli Roe,0.0,116.0,0.0,324.0,0.0,2.793103448275862,-2.793103448275862,324.0,116.0
T.Ricks,1627539,Tyler Ricks,0.0,50.0,0.0,291.0,0.0,5.82,-5.82,291.0,50.0
D.Jones,1168,David Jones,0.0,115.0,0.0,255.0,0.0,2.217391304347826,-2.217391304347826,255.0,115.0
J.Reneau,1628168,Jenna Reneau,0.0,30.0,0.0,181.0,0.0,6.033333333333333,-6.033333333333333,181.0,30.0
T.Mirkovich,1628482,Tyler Mirkovich,0.0,19.0,0.0,126.0,0.0,6.631578947368421,-6.631578947368421,126.0,19.0
B.Haskill,1629175,Brent Haskill,0.0,24.0,0.0,124.0,0.0,5.166666666666667,-5.166666666666667,124.0,24.0
B.Burns,1629174,Blanca Burns,0.0,8.0,0.0,41.0,0.0,5.125,-5.125,41.0,8.0
R.Richardson,1627538,Randy Richardson,0.0,6.0,0.0,37.0,0.0,6.166666666666667,-6.166666666666667,37.0,6.0
J.Crawford,1153,Joe Crawford,3.0,61.0,5.0,26.0,1.6666666666666667,0.4262295081967213,1.2404371584699454,31.0,64.0
C.Aubry,1629422,Clare Aubry,0.0,6.0,0.0,27.0,0.0,4.5,-4.5,27.0,6.0
B.Maru,1629177,Biniam Maru,0.0,4.0,0.0,24.0,0.0,6.0,-6.0,24.0,4.0
A.Abazi,196295108,Agon Abazi,0.0,2.0,0.0,15.0,0.0,7.5,-7.5,15.0,2.0
I.Barnett,203800,Isaac Barnett,0.0,1.0,0.0,11.0,0.0,11.0,-11.0,11.0,1.0
